Name,Type,Skill,Level,Step,Stars,Stock,Star 1,Star 2,Star 3,Star 4,Star 5,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Achievement,Needs,Cost to max,Upgradable,RankPower,Rank,Team,URL,URL Mutation,Mutation 1,Mutation 2
Glacewing,Water,Attack,250,4,4,0,20,20,20,Max,,1,1,1,1,0,0.487179487,500,0,,4250,6,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrE4qGrnpy2BMETqUKNyATj-OrXMdX4IeXcQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRbCy1ARx2qd0P1rLvdoRvfNqa4pUV20r12A&s,Cryovern,
Shadowkaeru,Water,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,33,,, ,,
Mystiray,Electricity,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,34,,, ,,
Predalynx,Wood,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,35,,, ,,
Solhorn,Fire,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,36,,, ,,
Leviadolph,Water,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,37,,, ,,
Voltfang,Electricity,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,38,,, ,,
Leafgarde,Wood,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,39,,, ,,
Inferdrake,Fire,Attack,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,40,,, ,,
Revontulet,Fire,Attack,150,2,2.3,0,1,1,1,,,1,1,0.6,0,0,0.138461538,840,2845200000,1,2450,16,3,, ,Vulpyrean,Camouflynx
